nootropic,count,count_without_ssc,estimated_mean_rating,estimated_mean_rating.lower,estimated_mean_rating.upper,proba_effective,proba_effective.lower,proba_effective.upper,proba_life_changing,proba_life_changing.lower,proba_life_changing.upper
5-HTP,395,395,2.9229706742435697,2.6704751585880273,3.180318294945152,0.7478106258048174,0.6860137199728303,0.8030771116149401,0.0044971040454123,0.00174966206868932,0.00940124310190376
"7,8-dihydroxyflavone",34,34,3.4857169016377716,2.7142274042404853,4.26381225217781,0.8097056247469339,0.639023005306512,0.9125414841524984,0.01306672731947124,0.00276309803091052,0.04571450669877356
9-MBC,20,20,4.658261758010605,3.721700232880656,5.573109652467623,0.8968237352663495,0.7687009363278198,0.9583882748017216,0.00929423744357606,0.00140795533472542,0.04712103692324624
Adderall,930,616,7.252586410947018,7.075401628134031,7.421648841284434,0.9498350552851728,0.9309192529434188,0.9648297207368864,0.12771383590191,0.10590482526930509,0.15397956950990446
Adrafinil,165,165,4.883870060878701,4.497900722053287,5.264422608155724,0.878757970275946,0.8135053897404709,0.9285895647523263,0.01067715725023323,0.0039781853129872,0.02409362290153981
Agmatine,127,127,4.132379632029216,3.703682460250345,4.555339037742235,0.800896926070658,0.7160459388440127,0.8680233385442244,0.00824164205955246,0.00285757966917422,0.02015596210871412
Alpha-GPC,288,288,3.9413870395486854,3.651591980649629,4.241296497696904,0.8430063498179716,0.7882241696596075,0.8852533747348426,0.01066332649349862,0.00522263666896889,0.0198134926572494
Alprazolam (Xanax),152,152,5.777477924503569,5.37748097524053,6.178180865205448,0.8606139569328424,0.7938904056496204,0.9119176834467893,0.04524892115549745,0.0245705882190011,0.07877775564789269
Aniracetam,406,195,4.23678795805263,3.996354420729503,4.487424464092718,0.8672728644571212,0.8230194974269969,0.902890937241905,0.00796725950220993,0.00403369491189135,0.01459596864471512
Armodafinil,139,139,6.142503529415761,5.70730806639306,6.578756706803513,0.9226227091774616,0.8662826834927391,0.958534326556417,0.02951144833972963,0.01378877093836204,0.05651112534567874
Ashwagandha,835,617,3.853799610963685,3.6842193608608937,4.0262023056375575,0.8068964078861698,0.7664742979844571,0.8418544543606594,0.00925757816323611,0.00559105888767207,0.01416414758664107
Bacopa,474,249,3.8074883553368686,3.571610092330757,4.031905522844921,0.7487952414200374,0.6915766157298627,0.7995902914748274,0.00971769693648845,0.00528891194419771,0.01650834185380509
Berberine,73,73,3.4744933841423182,2.9284894693673613,4.0550778372143865,0.7523161810756132,0.6238601349646654,0.8507253007968281,0.01264924930231295,0.00402502621657666,0.03248983399904608
Black Seed Oil (Nigella sativa),113,113,3.637515294373291,3.2034016347141456,4.057069660491024,0.8234347475587867,0.7360603854263732,0.8885011198828306,0.01366698247801226,0.00481327623373291,0.03208465330635569
