,libido,pseudo,anxiety,age,cognition,time,userID,other,motivation,mood,permanent_favorite_noot,gender,focus,for_anxiety,for_focus,for_mood,for_cognition,for_motivation
0,Not at all a reason,default,Not at all a reason,35.0,Not at all a reason,1642310482.3159983,13377893,,Not at all a reason,Not at all a reason,,Male,Not at all a reason,,,,,
1,,default,Not at all a reason,19.0,Not at all a reason,1638268782.900452,29996741,,Not at all a reason,Not at all a reason,,Male,Not at all a reason,,,,,
2,Not at all a reason,default,Not at all a reason,0.0,Not at all a reason,1642480307.2715406,29761467,,"Yes, a major reason",Not at all a reason,,-,"Yes, a major reason",,,,,
3,,default,Not at all a reason,18.0,"Yes, a major reason",1638257459.6098394,17421731,,"Yes, a minor reason",Not at all a reason,,Male,"Yes, a minor reason",,,,,
4,Not at all a reason,default,Not at all a reason,38.0,"Yes, a minor reason",1642302920.0324643,98640695,,"Yes, a minor reason","Yes, a minor reason",,Male,"Yes, a minor reason",,,,,
5,"Yes, a minor reason",default,"Yes, a major reason",21.0,"Yes, a major reason",1638451307.163432,63133039,,"Yes, a major reason","Yes, a major reason",,Male,"Yes, a major reason",,,,,
6,"Yes, a minor reason",default,Not at all a reason,21.0,"Yes, a major reason",1638368512.999892,75162016,,"Yes, a major reason",Not at all a reason,,Male,"Yes, a major reason",,,,,
7,"Yes, a minor reason",default,"Yes, a major reason",31.0,"Yes, a minor reason",1642445989.1070776,18327812,,"Yes, a major reason","Yes, a major reason",,Female,"Yes, a minor reason",,,,,
8,Not at all a reason,default,Not at all a reason,35.0,Not at all a reason,1642302574.982691,19861619,,"Yes, a minor reason",Not at all a reason,,Male,Not at all a reason,,,,,
9,Not at all a reason,default,"Yes, a major reason",30.0,"Yes, a major reason",1642304032.626768,91833850,,"Yes, a minor reason","Yes, a major reason",,Female,"Yes, a major reason",,,,,
10,Not at all a reason,default,"Yes, a minor reason",27.0,"Yes, a minor reason",1638299407.2193341,28502768,,"Yes, a major reason","Yes, a minor reason",,Male,"Yes, a major reason",,,,,
11,,default,"Yes, a minor reason",32.0,"Yes, a minor reason",1638257019.7337446,91721335,,"Yes, a major reason","Yes, a minor reason",,Male,"Yes, a major reason",,,,,
12,,default,Not at all a reason,24.0,"Yes, a major reason",1638251713.2844737,89156123,,"Yes, a major reason",Not at all a reason,DLPA,Female,"Yes, a major reason",,,,,
13,Not at all a reason,default,Not at all a reason,24.0,Not at all a reason,1638619227.7037382,18856188,,Not at all a reason,Not at all a reason,,Male,Not at all a reason,,,,,
14,"Yes, a major reason",default,"Yes, a major reason",27.0,"Yes, a minor reason",1638286482.9664016,74751581,,"Yes, a minor reason","Yes, a minor reason",,Male,"Yes, a minor reason",,,,,
15,Not at all a reason,default,"Yes, a major reason",30.0,"Yes, a minor reason",1638625214.3588574,21917246,,"Yes, a major reason","Yes, a major reason",,Male,"Yes, a major reason",,,,,
16,Not at all a reason,default,Not at all a reason,0.0,Not at all a reason,1642292666.9989126,18133782,,Not at all a reason,Not at all a reason,,-,Not at all a reason,,,,,
17,,default,"Yes, a major reason",25.0,"Yes, a major reason",1638235165.0139208,68062744,,"Yes, a minor reason","Yes, a minor reason",SR9009,Male,"Yes, a minor reason",,,,,
18,,default,"Yes, a minor reason",41.0,"Yes, a major reason",1638263136.2524428,43453551,,"Yes, a major reason","Yes, a minor reason",,Male,"Yes, a major reason",,,,,
19,Not at all a reason,default,Not at all a reason,40.0,"Yes, a major reason",1642339667.2467463,48595531,,"Yes, a minor reason",Not at all a reason,,Male,"Yes, a major reason",,,,,
20,Not at all a reason,default,"Yes, a major reason",21.0,Not at all a reason,1638335280.917575,77478151,,"Yes, a major reason","Yes, a minor reason",,Female,"Yes, a major reason",,,,,
21,"Yes, a major reason",default,"Yes, a major reason",23.0,"Yes, a major reason",1638487414.3639383,68752534,,"Yes, a major reason","Yes, a major reason",,Male,"Yes, a minor reason",,,,,
22,,default,"Yes, a minor reason",36.0,"Yes, a major reason",1638241722.3620362,9365693,,Not at all a reason,"Yes, a major reason",,Male,"Yes, a major reason",,,,,
23,Not at all a reason,default,"Yes, a major reason",19.0,"Yes, a major reason",1642289055.8815079,89532528,,"Yes, a major reason","Yes, a major reason",,Male,"Yes, a major reason",,,,,
24,Not at all a reason,default,"Yes, a major reason",0.0,"Yes, a minor reason",1638462731.694833,30414366,,"Yes, a major reason","Yes, a major reason",,-,"Yes, a major reason",,,,,
25,Not at all a reason,default,Not at all a reason,31.0,"Yes, a major reason",1642347928.1209269,4193762,,"Yes, a major reason",Not at all a reason,,Male,"Yes, a major reason",,,,,
26,,default,Not at all a reason,36.0,"Yes, a major reason",1638241556.6877275,64319475,,Not at all a reason,Not at all a reason,,Male,"Yes, a major reason",,,,,
27,"Yes, a major reason",default,Not at all a reason,35.0,Not at all a reason,1642305820.1352928,71017829,,"Yes, a major reason","Yes, a minor reason",,Male,"Yes, a minor reason",,,,,
28,Not at all a reason,default,Not at all a reason,0.0,Not at all a reason,1642304551.125714,58921525,,Not at all a reason,Not at all a reason,,-,Not at all a reason,,,,,
29,Not at all a reason,default,Not at all a reason,37.0,"Yes, a major reason",1642391784.5347917,38005092,,"Yes, a minor reason",Not at all a reason,,Male,Not at all a reason,,,,,
30,Not at all a reason,default,Not at all a reason,20.0,"Yes, a minor reason",1642377438.0481937,67034681,,"Yes, a major reason","Yes, a minor reason",,Male,"Yes, a major reason",,,,,
31,Not at all a reason,default,"Yes, a minor reason",0.0,"Yes, a major reason",1638330569.3602037,69546660,,"Yes, a minor reason",Not at all a reason,,-,"Yes, a major reason",,,,,
32,,default,,56.0,,1637590833.1339529,51290853,,,,,Male,,Not at all a reason,"Yes, a minor reason",Not at all a reason,Not at all a reason,Not at all a reason
33,Not at all a reason,default,Not at all a reason,22.0,Not at all a reason,1642310740.1002805,9698344,,"Yes, a major reason","Yes, a major reason",,Male,"Yes, a major reason",,,,,
