...1,libido,pseudo,anxiety,age,cognition,time,userID,other,motivation,mood,permanent_favorite_noot,gender,focus
0,Not at all a reason,default,Not at all a reason,35,Not at all a reason,1642310482.3159983,13377893,NA,Not at all a reason,Not at all a reason,NA,Male,Not at all a reason
1,NA,default,Not at all a reason,19,Not at all a reason,1638268782.900452,29996741,NA,Not at all a reason,Not at all a reason,NA,Male,Not at all a reason
2,Not at all a reason,default,Not at all a reason,0,Not at all a reason,1642480307.2715406,29761467,NA,"Yes, a major reason",Not at all a reason,NA,-,"Yes, a major reason"
3,NA,default,Not at all a reason,18,"Yes, a major reason",1638257459.6098394,17421731,NA,"Yes, a minor reason",Not at all a reason,NA,Male,"Yes, a minor reason"
4,Not at all a reason,default,Not at all a reason,38,"Yes, a minor reason",1642302920.0324645,98640695,NA,"Yes, a minor reason","Yes, a minor reason",NA,Male,"Yes, a minor reason"
5,"Yes, a minor reason",default,"Yes, a major reason",21,"Yes, a major reason",1638451307.163432,63133039,NA,"Yes, a major reason","Yes, a major reason",NA,Male,"Yes, a major reason"
6,"Yes, a minor reason",default,Not at all a reason,21,"Yes, a major reason",1638368512.999892,75162016,NA,"Yes, a major reason",Not at all a reason,NA,Male,"Yes, a major reason"
7,"Yes, a minor reason",default,"Yes, a major reason",31,"Yes, a minor reason",1642445989.1070776,18327812,NA,"Yes, a major reason","Yes, a major reason",NA,Female,"Yes, a minor reason"
8,Not at all a reason,default,Not at all a reason,35,Not at all a reason,1642302574.982691,19861619,NA,"Yes, a minor reason",Not at all a reason,NA,Male,Not at all a reason
9,Not at all a reason,default,"Yes, a major reason",30,"Yes, a major reason",1642304032.626768,91833850,NA,"Yes, a minor reason","Yes, a major reason",NA,Female,"Yes, a major reason"
10,Not at all a reason,default,"Yes, a minor reason",27,"Yes, a minor reason",1638299407.219334,28502768,NA,"Yes, a major reason","Yes, a minor reason",NA,Male,"Yes, a major reason"
11,NA,default,"Yes, a minor reason",32,"Yes, a minor reason",1638257019.7337446,91721335,NA,"Yes, a major reason","Yes, a minor reason",NA,Male,"Yes, a major reason"
12,NA,default,Not at all a reason,24,"Yes, a major reason",1638251713.2844737,89156123,NA,"Yes, a major reason",Not at all a reason,DLPA,Female,"Yes, a major reason"
13,Not at all a reason,default,Not at all a reason,24,Not at all a reason,1638619227.7037382,18856188,NA,Not at all a reason,Not at all a reason,NA,Male,Not at all a reason
